Projektname;Direktion Abkürzung;Direktion Name;Dienststelle Abkürzung;Dienststelle Name;Objekt;Verfahren;Arbeitsgattung;Beschreibung zur Arbeitsgattung;T_d;Zuschlagsempfänger;TAG_Auftragsvolumen_exkl._MWST_dSSG;Bemerkung
KHK St.Gallen / Erneuerung Rauchgasreinigung;DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK;Einladung;Planer;Bau;2021-01-25;"Wälli AG Ingenieure
Heiligkreuzstrasse 5
9008 St.Gallen";220153.0;
Oberstufenschulhaus Zil, Sanierung Schulhaus und Turnhalle;DPB;Direktion Planung und Bau;HBA;Hochbauamt;OZ Zil;Einladung;BKP 233 Leuchten und Lampen (Klassenzimmer);Beleuchtung;2021-02-15;"Monlicht GmbH
Wieshofstrasse 91
8408 Winterthur";111287.35;
Primarschule Hebel;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Primarschule Hebel;Einladung;BKP 271 Gipserarbeiten Werkhaus;Sanierung und betriebliche Optimierung;2021-02-18;"Tinella AG
St.Gallen";178753.45;
Los 421 Scheibenacker- bis Grossackerstrasse - Rohrbauarbeiten;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Fernwärmeteilgebiet 4.2 Kleinberg;Freihändig;Rohrbauarbeiten für Fernwärme;;2021-03-17;"Hälg & Co. AG
Hofackerstrasse 15
8409 Winterthur";208884.07;
Sanierung Emscherbecken;DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;ARA Hofen, Sanierung 4. Etappe;Freihändig;Rückbauten und Betoninstandsetzungen;;2021-03-16;"SikaBau AG
St.Gallen";110893.95;
Photovoltaik-Anlage Brauerstrasse 78;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Photovoltaik-Anlage Brauerstrasse 78;Einladung;Neubau Photovoltaik-Anlage;;2021-04-07;"Grob AG, Gebäudehüllen
9016 St.Gallen";162475.08;
Oberstufenzentrum Zil, Sanierung Schulhaus und Turnhalle;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Oberstufenzentrum Zil;Offen;BKP 285 Malerarbeiten;Malerarbeiten;2021-04-28;"T. Fuggeriero & Söhne AG
St.Gallerstrasse 73
9500 Wil";135058.35;
Hadwigstrasse, Notkerstrasse bis Museumstrasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Haswigstrasse, Notkerstrasse bis Museumstrasse;Einladung;;Strasseninstandstellung;2021-05-05;"Morant AG
St.Gallen";134918.5;
Gerhaldenstrasse Dufourstrasse bis Sonnenhaldenstrasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;"Gerhaldenstrasse Dufourstrasse bis Sonnenhaldenstrasse; Tempo-30-Zone";Einladung;;Strassenbauarbeiten;2021-05-07;"Morant AG
St.Gallen";156333.95;
Kommunaler Richtplan Stadt St.Gallen;DPB;Direktion Planung und Bau;SPA;Stadtplanung;Kommunaler Richtplan;Einladung;;Nachführung und ordentliche Anpassung;2021-05-20;"ewp AG St.Gallen
Güterbahhofstrasse 7
9000 St.Gallen";195100.0;
Unterer Graben, Metzgergasse bis Kirchgasse;DPB;Direktion Planung und Bau;TBA;Tiefbauamt;Unterer Graben, Metzgergasse bis Kirchgasse;Offen;Instandstellungsarbeiten;Instandstellung;2021-05-26;"Cellere Bau AG
St.Gallen";413029.2;
Freibad Rotmonten, Sanierung Hauptgebäude;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Freibad Rotmonten;Freihändig;BKP 250;Sanitärinstallationen;2021-06-14;"Sanitär Wirth AG
9000 St.Gallen";112453.25;
Freibad Rotmonten, Sanierung Hauptgebäude;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Freibad Rotmonten;Freihändig;BKP 112 / BKP 211;Rückbau und Baumeisterarbeiten;2021-06-14;"Cellere Bau AG
St.Gallen";241623.05;
Primarschule Hebel-Bach, Neubau Tagesbetreuung an der Gotthelfstrasse;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Tagesbetreuung Hebel;Einladung;BKP 231;Starkstrominstallationen;2021-06-22;"Huber + Monsch AG
St.Gallen";156506.8;
Los 512 Kantonsschule;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Fernwärme-Ausbauprojekt Los 512 Kantonsschule;Freihändig;Tiefbauarbeiten;;2021-07-08;"Cellere Bau AG
St.Gallen";157476.0;
Fernwärme, Los 322 Überquerung Stephanshorntunnel;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Fernwärme, Los 322;Offen;Tiefbauarbeiten;;2021-08-17;"Walo Bertschinger AG
St.Gallen";464078.6;
"KHK; Revision Ofen";DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK;Freihändig;Revision Ofen;;2021-08-17;"Wehrle-Werk AG
D-Emmendingen";191026.0;
Ersatzbeschaffung von Nutzfahrzeugen für Stadtgrün;DPB;Direktion Planung und Bau;SGR;Stadtgrün;Ersatzbeschaffung 1 Elektrofahrzeug;Freihändig;;Ersatzbeschaffung;2021-08-17;"City Garage AG
St.Gallen";95000.0;
Projekt Smart Meter Rollout;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Smart Meter (intelligente Messsysteme);Einladung;;;2021-08-31;"Kempter Meile AG
Wil";188438.0;
Schulhaus Hebel, Hebelstrasse 21, St.Gallen, Sanierung und betriebliche Optimierung;DPB;Direktion Planung und Bau;HBA;Hochbauamt;Schulhaus Hebel;Freihändig;BKP 233 Leuchten und Lampen;Beleuchtung;2021-10-25;"Regent Beleuchtungskörper AG
Fürstenlandstrasse 109
9014 St.Gallen";118459.1;
Inventar der schützenswerten Bauten in der Altstadt (Altstadtinventar);DPB;Direktion Planung und Bau;SPA;Stadtplanung;Altstadtinventar;Offen;;Überarbeitung;2021-11-16;"ARGE Altstadtinventar
(Madianos / Hurschler / Sigrist)
St.Gallen / Winterthur";631383.0;
"KHK; Erneuerung Rauchgasreinigung";DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK Rauchgasreinigung;Einladung;Tiefbau;;2021-11-23;"Stutz AG
St.Gallen";310187.75;
Erdsonden-Wärmepumpen-Anlage Vogelherdstrasse 10-16a;DTB;Direktion Technische Betriebe;SGSW;St.Galler Stadtwerke;Erdsonden-Wärmepumpen-Anlage;Freihändig;BKP 24 Heizung;;2021-12-06;"Engie Services AG
9016 St.Gallen";143047.4;
Erneuerung Rauchgasreinigung;DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK St.Gallen;Offen;Flachdacharbeiten inklusiv Oblichter;;2021-12-22;"Tecton AG
St.Gallen";122225.15;
"KHK; Erneuerung Rauchgasreinigung";DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;KHK St.Gallen;Offen;Stahlbau und äussere Bekleidung;;2022-01-11;"Willi Messerli AG
Guntershausen";1155925.75;
Martinsbruggstrasse, Abschnitt Haus Nr. 16 bis Leichtathletikanlage;DTB;Direktion Technische Betriebe;ESG;Entsorgung St.Gallen;Martinsbruggstrasse;Freihändig;Kanalbauarbeiten;;2022-01-31;"Hagmann AG 
St.Gallen";102129.05;
