T_h;Bad_ID;Name;TAG_Besucherstand_Bäder_dSSG;TAG_Max._Kapazität_der_Bäder_während_Corona;Bemerkung Max. Kapazitäten
2020-10-31T11:00:00+01:00;c5ed762037214d;Freibad Rotmonten;16;1780;Eislaufen im Winter für max. 180 Personen
2020-10-31T11:15:00+01:00;c5ed762037214d;Freibad Rotmonten;18;1780;Eislaufen im Winter für max. 180 Personen
2020-10-31T11:45:00+01:00;c5ed762037214d;Freibad Rotmonten;22;1780;Eislaufen im Winter für max. 180 Personen
2020-11-02T08:45:00+01:00;c5ed762037214d;Freibad Rotmonten;25;1780;Eislaufen im Winter für max. 180 Personen
2020-11-02T09:15:00+01:00;c5ed762037214d;Freibad Rotmonten;33;1780;Eislaufen im Winter für max. 180 Personen
2020-11-02T10:00:00+01:00;c5ed762037214d;Freibad Rotmonten;26;1780;Eislaufen im Winter für max. 180 Personen
2020-11-02T15:00:00+01:00;c5ed762037214d;Freibad Rotmonten;2;1780;Eislaufen im Winter für max. 180 Personen
2020-11-02T16:45:00+01:00;c5ed762037214d;Freibad Rotmonten;18;1780;Eislaufen im Winter für max. 180 Personen
2020-11-02T17:30:00+01:00;c5ed762037214d;Freibad Rotmonten;17;1780;Eislaufen im Winter für max. 180 Personen
2020-11-03T08:45:00+01:00;c5ed762037214d;Freibad Rotmonten;22;1780;Eislaufen im Winter für max. 180 Personen
2020-11-03T09:00:00+01:00;c5ed762037214d;Freibad Rotmonten;21;1780;Eislaufen im Winter für max. 180 Personen
2020-11-03T11:30:00+01:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-11-03T14:45:00+01:00;c5ed762037214d;Freibad Rotmonten;2;1780;Eislaufen im Winter für max. 180 Personen
2020-11-03T16:00:00+01:00;c5ed762037214d;Freibad Rotmonten;15;1780;Eislaufen im Winter für max. 180 Personen
2020-11-03T16:15:00+01:00;c5ed762037214d;Freibad Rotmonten;18;1780;Eislaufen im Winter für max. 180 Personen
2020-11-03T17:00:00+01:00;c5ed762037214d;Freibad Rotmonten;19;1780;Eislaufen im Winter für max. 180 Personen
2020-11-03T18:30:00+01:00;c5ed762037214d;Freibad Rotmonten;12;1780;Eislaufen im Winter für max. 180 Personen
2020-11-03T19:15:00+01:00;c5ed762037214d;Freibad Rotmonten;0;1780;Eislaufen im Winter für max. 180 Personen
2020-11-04T07:45:00+01:00;c5ed762037214d;Freibad Rotmonten;10;1780;Eislaufen im Winter für max. 180 Personen
2020-11-04T11:45:00+01:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-11-04T12:45:00+01:00;c5ed762037214d;Freibad Rotmonten;9;1780;Eislaufen im Winter für max. 180 Personen
2020-11-04T13:30:00+01:00;c5ed762037214d;Freibad Rotmonten;11;1780;Eislaufen im Winter für max. 180 Personen
2020-11-05T09:00:00+01:00;c5ed762037214d;Freibad Rotmonten;6;1780;Eislaufen im Winter für max. 180 Personen
2020-11-05T16:45:00+01:00;c5ed762037214d;Freibad Rotmonten;30;1780;Eislaufen im Winter für max. 180 Personen
